abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
"Get the latest primary results from Iowa, New Mexico, Pennsylvania and more.",2020-06-02T19:36:50+0000,Interactive Feature,0,,"Live Primary Election Results: Iowa, New Mexico, Pennsylvania and More Races to Watch",U.S.,Elections
"Assigned to the Philippine Embassy in London, Mr. Reyes challenged expenditures on items like Persian rugs, perfume and real estate.",2020-06-02T06:40:52+0000,Obituary (Obit),390,10,"Ruben Varias Reyes, Diplomat Who Questioned Marcos Spending, Dies at 79",Obituaries,
"In his first installment of a new series on overlooked or under-read American writers, A.O. Scott, a critic at large for The New York Times, considers Wallace Stegner, the Western novelist who captured, and criticized, his region’s individualistic spirit.",2020-06-01T21:37:40+0000,Review,3447,1,Wallace Stegner and the Conflicted Soul of the West,Books,Book Review
"After years of snubs and American unilateralism, European allies have stopped looking to the president for leadership, and are turning their backs on him.",2020-06-02T18:29:23+0000,News,1441,12,"Embattled at Home, Trump Finds Himself Isolated Abroad, Too",World,Europe
"This four-bedroom house in the mountains outside San Jose, Costa Rica, is on the market for $4.1 million.",2020-06-03T13:30:26+0000,Slideshow,0,,A Hillside Paradise in Costa Rica,Real Estate,
"A 1961 glass house in Chardon, Ohio; a two-bedroom condo in Pittsburgh; and a 1924 Prairie-style duplex in Indianapolis.",2020-06-03T13:00:32+0000,Slideshow,0,,"What You Get for $600,000",Real Estate,
Galleries and museums are getting creative about presenting work online during the coronavirus crisis. Here are two shows worth viewing virtually.,2020-06-03T13:00:13+0000,Review,678,6,2 Art Gallery Shows to Explore From Home,Arts,Art & Design
These are our most striking photos from five days of protest where crowds of demonstrators stopped traffic and clashed with police.,2020-06-01T02:57:54+0000,News,225,,New York’s Days of Protest: What It Looked Like From the Streets,New York,
"As many cultural institutions are dealing with layoffs and furloughs, some are appointing new leaders who face a whole new set of challenges.",2020-06-03T15:00:13+0000,News,1263,1,Could There Be a More Difficult Time to Become an Arts Leader?,Arts,Art & Design
"The main focus is how smoothly (or not) voting by mail unfolds, but several noteworthy congressional primaries will take place, including Mr. King’s latest challenge in Iowa.",2020-06-02T12:00:07+0000,News,1346,,Steve King Faces Primary as 8 States and D.C. Vote: What to Watch,U.S.,Politics
"In his first installment of a new series on overlooked or under-read American writers, A.O. Scott, a critic at large for The New York Times, considers Wallace Stegner, the Western novelist who captured, and criticized, his region’s individualistic spirit.",2020-06-01T21:37:40+0000,Review,3447,1,Wallace Stegner and the Conflicted Soul of the West,Books,Book Review
Times journalists summarize some of the most critical things that scientists and public health officials have yet to understand.,2020-06-01T20:41:38+0000,News,2299,,"After 6 Months, Important Mysteries About Coronavirus Endure",Health,
"In a sign of partisan divide, his monologue came as Anderson Cooper of CNN criticized Mr. Trump for calling protesters “thugs.”",2020-06-02T03:35:37+0000,News,707,,Tucker Carlson of Fox News Accuses Trump of Being Too Lenient on Protests,Business Day,Media
"After military helicopters carried out a “show of force” mission to discourage protesters, retired senior military leaders condemned their successors for deploying such tactics.",2020-06-02T15:15:54+0000,News,1567,21,Former Commanders Fault Trump’s Use of Troops Against Protesters,U.S.,Politics
"The technology was old, the data poor, the bureaucracy slow, the guidance confusing, the administration not in agreement. The coronavirus shook the world’s premier health agency, creating a loss of confidence and hampering the U.S. response to the crisis.",2020-06-03T07:00:25+0000,News,5826,1,The C.D.C. Waited ‘Its Entire Existence for This Moment.’ What Went Wrong?,U.S.,
"Our “hidden enemy,” in plain sight.",2020-06-02T06:30:16+0000,News,4097,4,Monster or Machine? A Profile of the Coronavirus at 6 Months,Health,
"The agency tweaked the rules on how to apply the Clean Water Act, which New York and other states have used to fight fossil-fuel ventures.",2020-06-01T18:47:52+0000,News,664,27,E.P.A. Limits States’ Power to Oppose Pipelines and Other Energy Projects,Climate,
They shouldn’t lose hope. They are at the heart of the fight to take back America.,2020-06-03T09:00:15+0000,Op-Ed,2069,4,Black Voters Are Coming for Trump,Opinion,Sunday Review
The death of George Floyd at the hands of the police set off days of protests in Minneapolis. Demonstrators challenged a curfew on Saturday and took to the streets for the fifth day in a row. Here’s why.,2020-06-01T00:08:23+0000,Video,0,,‘We’re Sick and Tired’: Voices From Minneapolis Protests,U.S.,
Schools must build cultures of physical distancing to protect campuses.,2020-06-01T09:00:13+0000,Op-Ed,766,,How Colleges Can Keep the Coronavirus Off Campus,Opinion,
"The agency tweaked the rules on how to apply the Clean Water Act, which New York and other states have used to fight fossil-fuel ventures.",2020-06-01T18:47:52+0000,News,664,27,E.P.A. Limits States’ Power to Oppose Pipelines and Other Energy Projects,Climate,
"After the killing of George Floyd, a small Minneapolis fund that is paying bail for protesters saw a huge influx of donations.",2020-06-01T15:25:46+0000,News,1112,,How a Minnesota Bail Fund Raised $20 Million,Style,
